id_riesgo,activo,amenaza,nivel_riesgo,clasificacion,control_id,control_nombre,control_categoria,control_tipo
R008,Sistema de Respaldos,Ataque de Phishing,160,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R008,Sistema de Respaldos,Ataque de Phishing,160,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R008,Sistema de Respaldos,Ataque de Phishing,160,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R010,Personal TI Especializado,Ataque de Phishing,160,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R010,Personal TI Especializado,Ataque de Phishing,160,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R010,Personal TI Especializado,Ataque de Phishing,160,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R010,Personal TI Especializado,Ataque de Phishing,160,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R043,Sistema ERP,Error Humano,144,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R043,Sistema ERP,Error Humano,144,Crítico,A.5.2,Roles y responsabilidades de seguridad,Organizacional,Preventivo
R043,Sistema ERP,Error Humano,144,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R043,Sistema ERP,Error Humano,144,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R043,Sistema ERP,Error Humano,144,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R042,Base de Datos de Clientes,Error Humano,144,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R042,Base de Datos de Clientes,Error Humano,144,Crítico,A.5.2,Roles y responsabilidades de seguridad,Organizacional,Preventivo
R042,Base de Datos de Clientes,Error Humano,144,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R042,Base de Datos de Clientes,Error Humano,144,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R042,Base de Datos de Clientes,Error Humano,144,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R041,Servidor de Base de Datos Principal,Error Humano,144,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R041,Servidor de Base de Datos Principal,Error Humano,144,Crítico,A.5.2,Roles y responsabilidades de seguridad,Organizacional,Preventivo
R041,Servidor de Base de Datos Principal,Error Humano,144,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R041,Servidor de Base de Datos Principal,Error Humano,144,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R041,Servidor de Base de Datos Principal,Error Humano,144,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R005,Correo Electrónico Corporativo,Ataque de Phishing,140,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R005,Correo Electrónico Corporativo,Ataque de Phishing,140,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R005,Correo Electrónico Corporativo,Ataque de Phishing,140,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R005,Correo Electrónico Corporativo,Ataque de Phishing,140,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.8.7,Protección contra malware,Tecnológico,Preventivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.8.13,Respaldo de información,Tecnológico,Correctivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R012,Base de Datos de Clientes,Malware/Ransomware,135,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.8.7,Protección contra malware,Tecnológico,Preventivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.8.13,Respaldo de información,Tecnológico,Correctivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R011,Servidor de Base de Datos Principal,Malware/Ransomware,135,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.7.2,Controles de acceso físico,Físico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.7.4,Monitoreo de seguridad física,Físico,Detectivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.2,Derechos de acceso privilegiados,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R023,Sistema ERP,Acceso No Autorizado,135,Crítico,A.8.28,Codificación segura,Tecnológico,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.6.1,Investigación de antecedentes,Personas,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.6.2,Términos y condiciones de empleo,Personas,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.7.7,Escritorio y pantalla limpios,Físico,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.7.10,Medios de almacenamiento,Físico,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.8.11,Enmascaramiento de datos,Tecnológico,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.8.12,Prevención de fuga de datos,Tecnológico,Preventivo/Detectivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R063,Sistema ERP,Fuga de Información,135,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.6.1,Investigación de antecedentes,Personas,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.6.2,Términos y condiciones de empleo,Personas,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.7.7,Escritorio y pantalla limpios,Físico,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.7.10,Medios de almacenamiento,Físico,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.8.11,Enmascaramiento de datos,Tecnológico,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.8.12,Prevención de fuga de datos,Tecnológico,Preventivo/Detectivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R062,Base de Datos de Clientes,Fuga de Información,135,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R052,Base de Datos de Clientes,Denegación de Servicio (DoS),135,Crítico,A.8.14,Redundancia de instalaciones de procesamiento de información,Tecnológico,Correctivo
R052,Base de Datos de Clientes,Denegación de Servicio (DoS),135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R052,Base de Datos de Clientes,Denegación de Servicio (DoS),135,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R051,Servidor de Base de Datos Principal,Denegación de Servicio (DoS),135,Crítico,A.8.14,Redundancia de instalaciones de procesamiento de información,Tecnológico,Correctivo
R051,Servidor de Base de Datos Principal,Denegación de Servicio (DoS),135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R051,Servidor de Base de Datos Principal,Denegación de Servicio (DoS),135,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.8.7,Protección contra malware,Tecnológico,Preventivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.8.13,Respaldo de información,Tecnológico,Correctivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R013,Sistema ERP,Malware/Ransomware,135,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.7.2,Controles de acceso físico,Físico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.7.4,Monitoreo de seguridad física,Físico,Detectivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.2,Derechos de acceso privilegiados,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R022,Base de Datos de Clientes,Acceso No Autorizado,135,Crítico,A.8.28,Codificación segura,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.7.2,Controles de acceso físico,Físico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.7.4,Monitoreo de seguridad física,Físico,Detectivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.2,Derechos de acceso privilegiados,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R021,Servidor de Base de Datos Principal,Acceso No Autorizado,135,Crítico,A.8.28,Codificación segura,Tecnológico,Preventivo
R053,Sistema ERP,Denegación de Servicio (DoS),135,Crítico,A.8.14,Redundancia de instalaciones de procesamiento de información,Tecnológico,Correctivo
R053,Sistema ERP,Denegación de Servicio (DoS),135,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R053,Sistema ERP,Denegación de Servicio (DoS),135,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.6.1,Investigación de antecedentes,Personas,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.6.2,Términos y condiciones de empleo,Personas,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.7.7,Escritorio y pantalla limpios,Físico,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.7.10,Medios de almacenamiento,Físico,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.8.11,Enmascaramiento de datos,Tecnológico,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.8.12,Prevención de fuga de datos,Tecnológico,Preventivo/Detectivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R061,Servidor de Base de Datos Principal,Fuga de Información,135,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R050,Personal TI Especializado,Error Humano,128,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R050,Personal TI Especializado,Error Humano,128,Crítico,A.5.2,Roles y responsabilidades de seguridad,Organizacional,Preventivo
R050,Personal TI Especializado,Error Humano,128,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R050,Personal TI Especializado,Error Humano,128,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R050,Personal TI Especializado,Error Humano,128,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.7.2,Controles de acceso físico,Físico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.7.4,Monitoreo de seguridad física,Físico,Detectivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.2,Derechos de acceso privilegiados,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R024,Red Corporativa,Acceso No Autorizado,120,Crítico,A.8.28,Codificación segura,Tecnológico,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.6.1,Investigación de antecedentes,Personas,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.6.2,Términos y condiciones de empleo,Personas,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.7.7,Escritorio y pantalla limpios,Físico,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.7.10,Medios de almacenamiento,Físico,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.8.11,Enmascaramiento de datos,Tecnológico,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.8.12,Prevención de fuga de datos,Tecnológico,Preventivo/Detectivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R070,Personal TI Especializado,Fuga de Información,120,Crítico,A.8.31,"Separación de ambientes de desarrollo, prueba y producción",Tecnológico,Preventivo
R060,Personal TI Especializado,Denegación de Servicio (DoS),120,Crítico,A.8.14,Redundancia de instalaciones de procesamiento de información,Tecnológico,Correctivo
R060,Personal TI Especializado,Denegación de Servicio (DoS),120,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R060,Personal TI Especializado,Denegación de Servicio (DoS),120,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.7.2,Controles de acceso físico,Físico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.7.4,Monitoreo de seguridad física,Físico,Detectivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.2,Derechos de acceso privilegiados,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R030,Personal TI Especializado,Acceso No Autorizado,120,Crítico,A.8.28,Codificación segura,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.5.1,Políticas de seguridad de la información,Organizacional,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.5.23,Seguridad de la información en el uso de servicios en la nube,Organizacional,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.7.2,Controles de acceso físico,Físico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.7.4,Monitoreo de seguridad física,Físico,Detectivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.2,Derechos de acceso privilegiados,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.3,Restricción de acceso a la información,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.9,Gestión de configuración,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.15,Registro,Tecnológico,Detectivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.16,Actividades de monitoreo,Tecnológico,Detectivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.20,Seguridad de redes,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.24,Uso de criptografía,Tecnológico,Preventivo
R028,Sistema de Respaldos,Acceso No Autorizado,120,Crítico,A.8.28,Codificación segura,Tecnológico,Preventivo
R020,Personal TI Especializado,Malware/Ransomware,120,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R020,Personal TI Especializado,Malware/Ransomware,120,Crítico,A.8.1,Dispositivos de punto final del usuario,Tecnológico,Preventivo
R020,Personal TI Especializado,Malware/Ransomware,120,Crítico,A.8.7,Protección contra malware,Tecnológico,Preventivo
R020,Personal TI Especializado,Malware/Ransomware,120,Crítico,A.8.8,Gestión de vulnerabilidades técnicas,Tecnológico,Preventivo
R020,Personal TI Especializado,Malware/Ransomware,120,Crítico,A.8.13,Respaldo de información,Tecnológico,Correctivo
